Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000139721801499459,-0.00891990633481813,0.0545743288252821,0,0,0,0.159950800266572,0.000101651221165473,-5.03027315623083E-07,-3.1472039365138E-07,8.30155851187896E-05,-1.16211310714731E-07,7.63971955831707E-05,0,0,0,0,0,0,package://final_assem2/meshes/base_link.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem2/meshes/base_link.STL,,setup2-1;front-cover.step-1;HC-SR04 Sensor-1;Sparkfun 9Dof IMU-1;servo-1;servo-2,Coordinate System11,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_upper_leg,-0.00184708648070556,0.0121982131166921,-0.0276620471353151,0,0,0,0.004818111387881,1.41741993826605E-06,5.75849506779538E-09,-1.34622826600359E-08,1.20038634588536E-06,5.0615818683572E-07,2.8007223812427E-07,0,0,0,0,0,0,package://final_assem2/meshes/left_upper_leg.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem2/meshes/left_upper_leg.STL,,left-leg-support-p1.step-1;left-leg-support-p2 (1).step-1,Coordinate System1,Axis1,"left_hip_joint ",revolute,0.051451,0.021878,0.068469,0,0,0,base_link,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
left_upper2_leg,-0.00343829987733225,-0.031950330703089,-0.0400373197439976,0,0,0,0.0110711596178799,9.0007542462057E-06,-8.52452741139558E-08,-1.12616251474775E-07,5.41600205355566E-06,-3.44596894822395E-06,3.64095364398878E-06,0,0,0,0,0,0,package://final_assem2/meshes/left_upper2_leg.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem2/meshes/left_upper2_leg.STL,,left-lower-leg.step-1,Coordinate System3,Axis3,left_upper_bottom_joint,revolute,0.00175,0.024173,-0.054915,0,0,0,left_upper_leg,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
left_white_link,-0.00351284827896975,0.014089389436349,-0.0175712720648845,0,0,0,0.0136561818789523,6.1721720458214E-06,4.6117482237348E-08,-5.94751872255315E-08,3.72985141415E-06,2.54897330664247E-06,2.60947543834273E-06,0,0,0,0,0,0,package://final_assem2/meshes/left_white_link.STL,1,1,1,1,0,0,0,0,0,0,package://final_assem2/meshes/left_white_link.STL,,left-leg-main-p2.step-1;left-leg-main-p1 (1).step-1,Coordinate System2,Axis2,left_white_top_joint,revolute,0.054451,-0.00061239,0.048645,0,0,0,base_link,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
left_lower_leg,0.00231170012266655,-0.0227052632231051,-0.0282250918724002,0,0,0,0.0110711596178799,9.0007542462057E-06,-8.52452741139558E-08,-1.12616251474775E-07,5.41600205355566E-06,-3.44596894822395E-06,3.64095364398878E-06,0,0,0,0,0,0,package://final_assem2/meshes/left_lower_leg.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem2/meshes/left_lower_leg.STL,,left-lower-leg.step-1,Coordinate System4,Axis4,left_white_bottom_joint,revolute,-0.007,0.037419,-0.046903,0,0,0,left_white_link,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
left_wheel,0.0163975042440271,1.62206759338895E-06,1.44651305899607E-05,0,0,0,0.0821704328344352,5.18918517052579E-05,1.18719486965528E-09,1.02936141483569E-08,2.85933477088047E-05,-7.16321375599296E-09,2.85332892566743E-05,0,0,0,0,0,0,package://final_assem2/meshes/left_wheel.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem2/meshes/left_wheel.STL,,left-motor-cover (1).step-3;left-wheel (1).step-3;tpu-left-tread (1).step-4;GBM4108H-120t.stp-2,Coordinate System5,Axis11,left_wheel_joint,continuous,0.0012149,-0.03698,-0.047249,0,0,0,left_lower_leg,-1,0,0,10,5,,,,,,,,,,
right_upper_leg,0.00184708742415259,0.0121982108761201,-0.027662045184495,0,0,0,0.00481811091262427,1.41741990276812E-06,-5.7585088246898E-09,1.34622801570938E-08,1.20038634610856E-06,5.0615815401873E-07,2.80072192554383E-07,0,0,0,0,0,0,package://final_assem2/meshes/right_upper_leg.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem2/meshes/right_upper_leg.STL,,right-leg-support-p1.step-1;right-leg-support-p2-1,Coordinate System6,Axis6,right_hip_joint,revolute,-0.051549,0.021878,0.068469,0,0,0,base_link,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
right_upper2_leg,0.00343829959902736,-0.0319503283305203,-0.0400373231220026,0,0,0,0.0110711602724557,9.00075447641487E-06,8.52453919454247E-08,1.12616172038318E-07,5.41600209857497E-06,-3.44596897863516E-06,3.64095387833541E-06,0,0,0,0,0,0,package://final_assem2/meshes/right_upper2_leg.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem2/meshes/right_upper2_leg.STL,,right-lower-leg.step-4,Coordinate System8,Axis4,right_upper_bottom_joint,revolute,-0.00175,0.024173,-0.054915,0,0,0,right_upper_leg,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
right_white_link,0.00351284814097716,0.0140893887999058,-0.0175712711517945,0,0,0,0.0136561811410979,6.17217171245867E-06,-4.61174422768703E-08,5.94752484317574E-08,3.729851486379E-06,2.54897310999381E-06,2.60947501858956E-06,0,0,0,0,0,0,package://final_assem2/meshes/right_white_link.STL,1,1,1,1,0,0,0,0,0,0,package://final_assem2/meshes/right_white_link.STL,,right-leg-main-p2.step-1;right-leg-main-p1-1,Coordinate System7,Axis7,right_white_top_joint,revolute,-0.054549,-0.00061239,0.048645,0,0,0,base_link,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
right_lower_leg,0.00343829959902858,-0.0227052608505364,-0.0282250952504051,0,0,0,0.0110711602724557,9.00075447641487E-06,8.52453919454247E-08,1.12616172038318E-07,5.41600209857497E-06,-3.44596897863516E-06,3.64095387833541E-06,0,0,0,0,0,0,package://final_assem2/meshes/right_lower_leg.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem2/meshes/right_lower_leg.STL,,right-lower-leg.step-4,Coordinate System9,Axis9,right_white_bottom_joint,revolute,0.00125,0.037419,-0.046903,0,0,0,right_white_link,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
